NU_INSCRICAO;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;TP_LINGUA;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;NU_NOTA_MT;TP_DEPENDENCIA_ADM_ESC_1.0;TP_DEPENDENCIA_ADM_ESC_2.0;TP_DEPENDENCIA_ADM_ESC_3.0;TP_DEPENDENCIA_ADM_ESC_4.0
ed50e8aaa58e7a806c337585efee9ca41f1eb1ad;436.3;495.4;581.2;1;120.0;120.0;120.0;80.0;80.0;520.0;399.4;0;0;0;0
2c3acac4b33ec2b195d77e7c04a2d75727fad723;474.5;544.1;599.0;1;140.0;120.0;120.0;120.0;80.0;580.0;459.8;0;1;0;0
f4545f8ccb9ff5c8aad7d32951b3f251a26e6568;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
3d6ec248fef899c414e77f82d5c6d2bffbeaf7fe;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
bf896ac8d3ecadd6dba1dfbf50110afcbf5d3268;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
a37c99ec251d4f6e8ddbeabadf1c87fdbfddc4d1;439.7;583.2;410.9;0;120.0;120.0;120.0;160.0;100.0;620.0;364.5;0;0;0;0
63b4e128e9ffe8ab27f5d093db1976ef4f353e0a;420.1;604.2;484.5;0;100.0;120.0;120.0;120.0;100.0;560.0;529.2;0;1;0;0
2eb189d4912f64b19d1967e8e84b6141aba18770;619.6;625.8;611.2;0;140.0;120.0;120.0;120.0;120.0;620.0;566.7;0;0;0;0
5822cb43e0800429be2084b3f86a63aaa73fa66c;500.5;555.2;521.8;1;140.0;160.0;140.0;140.0;100.0;680.0;372.4;0;1;0;0
94f7e277f87cd58e10a45da4ad5dd168651cf3ef;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
3c44449ad09dc6a72c77c3bd3b5fd06a6d3f66e8;413.4;407.9;533.9;1;100.0;100.0;100.0;100.0;120.0;520.0;419.6;0;0;0;0
6f721ecb245bd74eaeda78b8d8135e8adeba6dc0;503.4;509.6;490.1;1;120.0;160.0;120.0;120.0;60.0;580.0;369.9;0;1;0;0
70b1dacb515d1aecead8a53cb465a70fda4b62b6;402.6;556.9;599.0;0;120.0;80.0;40.0;120.0;0.0;360.0;464.2;0;0;0;0
8570b9be0b2b629d00743d0de77cd95a84a46fbc;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
67a173ad63a2a3f77c8905b49e83084b7c1cd6b0;477.8;462.9;511.9;0;100.0;60.0;60.0;80.0;60.0;360.0;453.4;0;0;0;0
4e17008781ab3d721804ffe992884f86c37dcb4c;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
6118b53a6c928609d5ec78f7b6ae463ee3f766e3;561.8;640.8;596.5;0;160.0;160.0;160.0;160.0;80.0;720.0;480.4;0;0;0;0
036bce628d802e0da1fc727057dd40e979a03ac3;474.4;540.0;517.4;1;120.0;80.0;80.0;120.0;60.0;460.0;402.4;0;1;0;0
e2550a9dbfe4dfa31af61ab8cbdd08de283fd7ba;395.5;425.2;569.5;1;100.0;120.0;80.0;100.0;120.0;520.0;475.8;0;0;0;0
fa8d39d295f07f351cbff175dcfe01a4cbb49ca3;393.3;429.6;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
bedf9d4bf2c29669d24ef9ed9fa4bb6b8a2b574b;471.9;628.0;588.2;1;160.0;140.0;160.0;140.0;180.0;780.0;518.0;0;1;0;0
5458db66588b99384d711f24a5e77d2befb2bec9;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
f2dda998a10d8f259dec0018a0a0aefafb66dcf7;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0
