NU_INSCRICAO;NU_IDADE;TP_ANO_CONCLUIU;IN_TREINEIRO;IN_BAIXA_VISAO;IN_CEGUEIRA;IN_SURDEZ;IN_DISLEXIA;IN_DISCALCULIA;IN_SABATISTA;IN_GESTANTE;IN_IDOSO;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_LINGUA;NU_NOTA_MT;TP_SEXO_M;CO_PROVA_MT_1;CO_PROVA_MT_2;CO_PROVA_MT_3;CO_PROVA_MT_4;CO_PROVA_MT_5;CO_PROVA_MT_6;CO_PROVA_MT_7;CO_PROVA_MT_8;Q001_B;Q001_C;Q001_D;Q001_E;Q001_F;Q001_G;Q001_H;Q002_B;Q002_C;Q002_D;Q002_E;Q002_F;Q002_G;Q002_H;Q006_B;Q006_C;Q006_D;Q006_E;Q006_F;Q006_G;Q006_H;Q006_I;Q006_J;Q006_K;Q006_L;Q006_M;Q006_N;Q006_O;Q006_P;Q006_Q;Q024_B;Q024_C;Q024_D;Q024_E;Q025_B;Q026_B;Q026_C;Q047_B;Q047_C;Q047_D;Q047_E;CO_UF_RESIDENCIA_12;CO_UF_RESIDENCIA_13;CO_UF_RESIDENCIA_14;CO_UF_RESIDENCIA_15;CO_UF_RESIDENCIA_16;CO_UF_RESIDENCIA_17;CO_UF_RESIDENCIA_21;CO_UF_RESIDENCIA_22;CO_UF_RESIDENCIA_23;CO_UF_RESIDENCIA_24;CO_UF_RESIDENCIA_25;CO_UF_RESIDENCIA_26;CO_UF_RESIDENCIA_27;CO_UF_RESIDENCIA_28;CO_UF_RESIDENCIA_29;CO_UF_RESIDENCIA_31;CO_UF_RESIDENCIA_32;CO_UF_RESIDENCIA_33;CO_UF_RESIDENCIA_35;CO_UF_RESIDENCIA_41;CO_UF_RESIDENCIA_42;CO_UF_RESIDENCIA_43;CO_UF_RESIDENCIA_50;CO_UF_RESIDENCIA_51;CO_UF_RESIDENCIA_52;CO_UF_RESIDENCIA_53;TP_COR_RACA_1;TP_COR_RACA_2;TP_COR_RACA_3;TP_COR_RACA_4;TP_COR_RACA_5;TP_NACIONALIDADE_1;TP_NACIONALIDADE_2;TP_NACIONALIDADE_3;TP_NACIONALIDADE_4;TP_ST_CONCLUSAO_2;TP_ST_CONCLUSAO_3;TP_ST_CONCLUSAO_4;TP_ESCOLA_2;TP_ESCOLA_3;TP_ESCOLA_4
ed50e8aaa58e7a806c337585efee9ca41f1eb1ad;24;4;0;0;0;0;0;0;0;0;0;1;1;1;1;399.4;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2c3acac4b33ec2b195d77e7c04a2d75727fad723;17;0;0;0;0;0;0;0;0;0;0;1;1;1;1;459.8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0
a37c99ec251d4f6e8ddbeabadf1c87fdbfddc4d1;18;1;0;0;0;0;0;0;0;0;0;1;1;1;0;364.5;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
63b4e128e9ffe8ab27f5d093db1976ef4f353e0a;18;0;0;0;0;0;0;0;0;0;0;1;1;1;0;529.2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0
2eb189d4912f64b19d1967e8e84b6141aba18770;18;1;0;0;0;0;0;0;0;0;0;1;1;1;0;566.7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
5822cb43e0800429be2084b3f86a63aaa73fa66c;16;0;0;0;0;0;0;0;0;0;0;1;1;1;1;372.4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0
3c44449ad09dc6a72c77c3bd3b5fd06a6d3f66e8;29;8;0;0;0;0;0;0;0;0;0;1;1;1;1;419.6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
6f721ecb245bd74eaeda78b8d8135e8adeba6dc0;17;0;0;0;0;0;0;0;0;0;0;1;1;1;1;369.9;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0
70b1dacb515d1aecead8a53cb465a70fda4b62b6;27;7;0;0;0;0;0;0;0;0;0;1;1;1;0;464.2;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
67a173ad63a2a3f77c8905b49e83084b7c1cd6b0;18;2;0;0;0;0;0;0;0;0;0;1;1;1;0;453.4;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
